a5_error_rate,a5_p95_ms,a5_safe,attempt_id,b5_error_rate,b5_p95_ms,b5_safe,normalized_p95_difference_b_minus_a,order,replication_id,y
0.0,92.0268594,True,1,0.4560763888888889,10000.949205550001,False,19.8178446923,B5->A5,c029,1
0.00017361111111111112,159.33949135000003,True,1,0.9611111111111111,10001.121235999999,False,19.6835634893,B5->A5,c030,1
0.0,176.4267067,True,1,0.8923611111111112,10001.1515141,False,19.649449614799998,A5->B5,c031,1
0.0,172.55514475000007,True,1,0.49201388888888886,10001.0488213,False,19.6569873531,A5->B5,c032,1
0.0,134.0457775000001,True,1,0.5706597222222223,10001.0972884,False,19.734103021800003,A5->B5,c033,1
0.0,179.86028515000007,True,1,0.9005208333333333,10001.137507,False,19.6425544437,A5->B5,c034,1
0.0,93.55917550000007,True,1,0.0,580.7720659000001,False,0.9744257808000002,A5->B5,c035,1
0.0,175.26304220000003,True,1,0.9991319444444444,10001.162853999998,False,19.651799623599995,A5->B5,c036,1
0.0,177.05221225000003,True,1,0.9213541666666667,10001.1653092,False,19.648226193899998,A5->B5,c037,1
0.0,68.91001620000009,True,1,0.0,330.6064491000003,True,0.5233928658000004,A5->B5,c038,0
0.00017361111111111112,176.78893015000003,True,1,0.8241319444444445,10001.1094737,False,19.6486410871,A5->B5,c039,1
0.0,164.60105830000006,True,1,0.7741319444444444,10001.07510175,False,19.6729480869,A5->B5,c040,1
0.0,122.98714930000004,True,1,0.7560763888888888,10001.1330874,False,19.756291876200002,A5->B5,c041,1
0.0,109.67040595000006,True,1,0.15329861111111112,10000.56651925,False,19.7817922266,A5->B5,c042,1
0.0,92.62845540000004,True,1,0.8866319444444445,10001.1031082,False,19.8169493056,B5->A5,c043,1
0.0,78.99543780000005,True,1,0.4630208333333333,10000.97393005,False,19.8439569845,B5->A5,c044,1
0.0,73.22053705000005,True,1,0.0,295.22479875000005,True,0.4440085234,B5->A5,c045,0
0.0,171.22786920000007,True,1,0.8378472222222222,10001.134010599999,False,19.659812282799997,A5->B5,c046,1
0.0,109.05248535000001,True,1,0.9340277777777778,10001.1543252,False,19.7842036797,A5->B5,c047,1
0.0,38.81426445000006,True,1,0.0,121.36260800000008,True,0.16509668710000006,A5->B5,c048,0
0.0,169.74648455000002,True,1,0.9543402777777777,10001.15671325,False,19.662820457400002,A5->B5,c049,1
0.00017361111111111112,79.06957195000001,True,1,0.0,415.0463835000001,True,0.6719536231000002,A5->B5,c050,0
0.0,167.9031548,True,1,0.9404513888888889,10001.104190600001,False,19.6664020716,B5->A5,c051,1
0.0,55.638615450000025,True,1,0.0,223.2041877,True,0.3351311444999999,B5->A5,c052,0
0.0,154.39983220000016,True,1,0.8743055555555556,10001.14770635,False,19.6934957483,B5->A5,c053,1
0.0,205.60331050000005,True,1,0.9755208333333333,10001.1925832,False,19.5911785454,A5->B5,c054,1
0.0,162.15638020000011,True,1,0.9977430555555555,10001.15706,False,19.6780013596,B5->A5,c055,1
0.0,55.3155276,True,1,0.19166666666666668,10000.66594865,False,19.8907008421,B5->A5,c056,1
0.0,97.13117315000001,True,1,0.9869791666666666,10001.1135819,False,19.807964817499997,A5->B5,c057,1
0.0,92.38150905000005,True,1,0.47291666666666665,10001.0171912,False,19.8172713643,B5->A5,c058,1
0.0,89.16784975,True,1,0.13559027777777777,10000.4397081,False,19.8225437167,B5->A5,c059,1
0.0,185.25438965,True,1,0.4111111111111111,10001.030894099998,False,19.6315530089,A5->B5,c060,1
0.0,227.1037154000001,True,1,0.8017361111111111,10001.117805,False,19.5480281792,A5->B5,c061,1
0.00017361111111111112,193.41056300000002,True,1,0.8798611111111111,10001.1081369,False,19.6153951478,A5->B5,c062,1
0.00017361111111111112,92.07629490000004,True,1,0.9887152777777778,10001.12845075,False,19.8181043117,B5->A5,c063,1
0.0,146.79810775,True,1,0.7267361111111111,10001.0972094,False,19.7085982033,A5->B5,c064,1
0.0,86.67982200000019,True,1,0.5791666666666667,10001.03388925,False,19.8287081345,A5->B5,c065,1
0.0,116.74731085000005,True,1,0.9598958333333333,10001.1415984,False,19.7687885751,B5->A5,c066,1
0.0,111.12963785000014,True,1,0.2829861111111111,10000.94779025,False,19.779636304799997,A5->B5,c067,1
0.0,94.45727725000002,True,1,0.35746527777777776,10001.0069786,False,19.8130994027,A5->B5,c068,1
0.0,170.68299035,True,1,0.7282986111111112,10001.0889912,False,19.660812001700002,A5->B5,c069,1
0.0,172.12100515000003,True,1,0.8996527777777777,10001.1370006,False,19.6580319909,A5->B5,c070,1
0.0,159.38336135000003,True,1,0.7213541666666666,10001.114036399998,False,19.6834613501,B5->A5,c071,1
0.0,116.10944530000008,True,1,0.9545138888888889,10001.158127499999,False,19.770097364399998,A5->B5,c072,1
0.0,102.36874925000002,True,1,0.4939236111111111,10001.0198984,False,19.7973022983,A5->B5,c073,1
0.0,175.89659275000008,True,1,0.4262152777777778,10000.943718499999,False,19.6500942515,A5->B5,c074,1
0.0,57.5772421000001,True,1,0.0,264.85448040000006,True,0.41455447659999994,B5->A5,c075,0
0.0,53.34169545000002,True,1,0.0,284.22021540000003,True,0.4617570399,B5->A5,c076,0
0.0,116.52529425000009,True,1,0.9699652777777777,10001.136646,False,19.769222703500002,A5->B5,c077,1
0.0,86.31254880000007,True,1,0.8050347222222223,10001.0941418,False,19.829563185999998,A5->B5,c078,1
0.0,93.51275895000002,True,1,0.9824652777777778,10001.235824,False,19.815446130099996,B5->A5,c079,1
0.0,189.10102645000006,True,1,0.41875,10001.034490799999,False,19.623866928699996,B5->A5,c080,1
0.0,90.00251055000011,True,1,0.0,474.89623315000006,True,0.7697874451999999,A5->B5,c081,0
0.0,232.85383845000027,True,1,0.9175347222222222,10001.2007051,False,19.536693733299998,B5->A5,c082,1
0.0,111.98209725000002,True,1,0.0,516.7011580500001,False,0.8094381216000002,A5->B5,c083,1
0.0,166.85375140000005,True,1,0.9387152777777777,10001.2323257,False,19.6687571486,A5->B5,c084,1
0.0,85.1170008000001,True,1,0.1449652777777778,10000.5452016,False,19.8308564016,A5->B5,c085,1
0.0,186.43972985000005,True,1,0.8536458333333333,10001.139583,False,19.6293997063,A5->B5,c086,1
0.0,103.21910460000001,True,1,0.3875,10001.014061,False,19.795589912799997,B5->A5,c087,1
0.0,146.2719958,True,1,0.20572916666666666,10000.742572399999,False,19.708941153199998,B5->A5,c088,1
0.0,186.4696968000001,True,1,0.9713541666666666,10001.1399357,False,19.629340477799996,B5->A5,c089,1
0.0,161.79594685,True,1,0.7946180555555555,10001.104814249999,False,19.6786177348,B5->A5,c090,1
0.0,218.13595560000002,True,1,0.5210069444444444,10001.0531165,False,19.565834321799997,B5->A5,c091,1
0.0,186.62687540000002,True,1,0.7663194444444444,10001.132524600001,False,19.629011298400005,A5->B5,c092,1
0.0,135.16189,True,1,0.4310763888888889,10000.97443,False,19.73162508,A5->B5,c093,1
0.00017361111111111112,150.04608170000003,True,1,0.9348958333333334,10001.1572573,False,19.7022223512,B5->A5,c094,1
